country,iso3,year,convention_status_current,convention_signed_year,convention_ratified_year,convention_entry_into_force_year,convention_denounced_effective_year,treatment_main_ratification,post_entry_into_force,active_party_annual_approx,event_time_main_ratification_years,years_since_entry_into_force,outcome_primary_female_intentional_homicide_rate_per_100k,outcome_secondary_sexual_violence_rate_per_100k,outcome_secondary_rape_rate_per_100k,gdp_per_capita_constant_2015_usd,female_labor_force_participation_pct,turkey_post_denunciation_2021_onward,microstate_country,sample_exclude_turkey,sample_exclude_microstates,sample_primary_female_homicide_2000_2023,sample_secondary_sexual_violence_2005_2023,sample_secondary_rape_2005_2023,sample_core_controls_available,sample_primary_full_controls,sample_secondary_sv_full_controls,sample_secondary_rape_full_controls,population_total,grevio_report_year,grevio_report_available,sample_primary_grevio_available,wbl_dv_legislation,wbl_femicide_law,sample_wbl_dv_legislation,sample_wbl_femicide_law,ratified_by_2023,ratification_after_analysis_window,government_effectiveness_wgi,rule_of_law_wgi,wgi_value_status,grevio_baseline_report_year_verified,grevio_report_available_verified,grevio_score_status,wave_shelter_reference_population_2020,wave_shelter_existing_beds_2020,wave_shelter_beds_needed_ic_standard_2020,wave_shelter_beds_missing_2020,wave_shelter_pct_beds_missing_2020,wave_shelter_beds_per_10k_total_population_2020,wave_shelter_meets_ic_minimum_standard_2020,data_quality_note,male_intentional_homicide_rate_per_100k,total_intentional_homicide_rate_per_100k,female_ipf_homicide_rate_per_100k,male_ipf_homicide_rate_per_100k,female_ip_homicide_rate_per_100k,female_share_of_homicide_victims,log_female_male_homicide_ratio,unodc_subregion,post_socialist,convention_denunciation_year,treat_year_first_full_ratification,treat_year_first_full_eif,ever_ratified_verified,treatment_first_full_year_ratification,treatment_first_full_year_eif,treatment_ratification_nonabsorbing
Serbia,SRB,2005,party,2012,2013.0,2014.0,,0,0,0,-8.0,-9.0,1.135,7.057,1.181,4809.14,44.9,0,0,1,1,1,1,1,1,1,1,1,7440000,2020.0,0,0,0.0,0.0,1,1,1,0,-0.61,-1.61,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.85270119339398,1.94982632618366,,,,0.284625137379962,-0.9216336816363271,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2006,party,2012,2013.0,2014.0,,0,0,0,-7.0,-8.0,1.292,6.084,1.531,5016.41,44.6,0,0,1,1,1,1,1,1,1,1,1,7411000,2020.0,0,0,0.0,0.0,1,1,1,0,-0.41,-0.91,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.94571923171715,2.07684499553911,,,,0.30488098180975376,-0.8241616032221197,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2007,party,2012,2013.0,2014.0,,0,0,0,-6.0,-7.0,1.4,5.599,1.403,5431.28,45.3,0,0,1,1,1,1,1,1,1,1,1,7365000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.44,-0.79,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,3.26463849124169,2.28518309996179,,,,0.30013043939602935,-0.8466767975395388,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2008,party,2012,2013.0,2014.0,,0,0,0,-5.0,-6.0,0.971,5.849,1.65,5735.95,44.7,0,0,1,1,1,1,1,1,1,1,1,7350000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.43,-0.84,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.87975579670844,1.87811591167972,,,,0.25215829080358565,-1.087134308433984,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2009,party,2012,2013.0,2014.0,,0,0,0,-4.0,-5.0,0.976,6.128,1.495,5578.01,43.1,0,0,1,1,1,1,1,1,1,1,1,7321000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.12,-0.81,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,3.28544281184057,2.07397700915681,,,,0.22903041131706595,-1.2137941335461508,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2010,party,2012,2013.0,2014.0,,0,0,0,-3.0,-4.0,1.109,6.666,0.974,5690.7,41.8,0,0,1,1,1,1,1,1,1,1,1,7291000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.13,-0.73,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.52894936645556,1.78478121117552,,,,0.30484206575983613,-0.824345237946993,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2011,party,2012,2013.0,2014.0,,0,0,0,-2.0,-3.0,1.037,5.866,1.073,5737.0,41.7,0,0,1,1,1,1,1,1,1,1,1,7186000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.23,-0.55,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.53775733821761,1.75156114676202,,,,0.2900896206054235,-0.8949488240543613,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2012,party,2012,2013.0,2014.0,,0,0,0,-1.0,-2.0,1.017,5.256,1.16,5739.31,42.0,0,0,1,1,1,1,1,1,1,1,1,7163000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.3,-0.57,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.03504665631086,1.50178377781355,,,,0.33321902137278975,-0.6936616284994008,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Serbia,SRB,2013,party,2012,2013.0,2014.0,,1,0,0,0.0,-1.0,1.233,3.601,1.924,5793.34,43.1,0,0,1,1,1,1,1,1,1,1,1,7142000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.31,-0.51,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.65488628213044,1.91034319590384,,,,0.3171389054425621,-0.766951598005108,Southern Europe,1,,2014.0,2015.0,True,0,0,1
Serbia,SRB,2014,party,2012,2013.0,2014.0,,1,1,1,1.0,0.0,0.977,3.985,1.84,5716.54,43.7,0,0,1,1,1,1,1,1,1,1,1,7117000,2020.0,0,0,1.0,0.0,1,1,1,0,0.0,-0.16,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.35353494411008,1.63272026762776,,,,0.2933462691114489,-0.8791870564086384,Southern Europe,1,,2014.0,2015.0,True,1,0,1
Serbia,SRB,2015,party,2012,2013.0,2014.0,,1,1,1,2.0,1.0,0.798,3.497,1.588,5820.32,43.3,0,0,1,1,1,1,1,1,1,1,1,7095000,2020.0,0,0,1.0,0.0,1,1,1,0,0.0,-0.12,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.0482101861589,1.39329072000109,,,,0.28037282835985494,-0.9426130134038959,Southern Europe,1,,2014.0,2015.0,True,1,1,1
Serbia,SRB,2016,party,2012,2013.0,2014.0,,1,1,1,3.0,2.0,1.018,3.971,1.473,6024.96,45.3,0,0,1,1,1,1,1,1,1,1,1,7076000,2020.0,0,0,1.0,0.0,1,1,1,0,-0.06,-0.21,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.29869678627454,1.62782274638115,,,,0.30693188602973337,-0.814502429556778,Southern Europe,1,,2014.0,2015.0,True,1,1,1
Serbia,SRB,2017,party,2012,2013.0,2014.0,,1,1,1,4.0,3.0,0.675,4.425,1.569,6200.26,46.1,0,0,1,1,1,1,1,1,1,1,1,7020000,2020.0,0,0,1.0,0.0,1,1,1,0,0.13,-0.3,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,1.81089371315592,1.21580435389435,,,,0.2715321240114753,-0.986863075700465,Southern Europe,1,,2014.0,2015.0,True,1,1,1
Serbia,SRB,2018,party,2012,2013.0,2014.0,,1,1,1,5.0,4.0,0.762,6.567,1.752,6524.08,46.4,0,0,1,1,1,1,1,1,1,1,1,6982000,2020.0,0,0,1.0,0.0,1,1,1,0,0.14,-0.28,retained_legacy_not_independently_reimported,2020.0,0,excluded_until_researcher_coding_rubric_is_documented,6926705.0,300.0,693.0,393.0,57.0,0.433106,0.0,GDP parsed from comma-formatted text to numeric. | GREVIO baseline publication year corrected to 2020 from official CoE page.,2.3028423055459,1.49572244747486,,,,0.24862616866817067,-1.1059528682967437,Southern Europe,1,,2014.0,2015.0,True,1,1,1
